,outcome,redTeam1,redTeam1R,redTeam2,redTeam2R,redTeam3,redTeam3R,redTeam4,redTeam4R,redTeam5,redTeam5R,blueTeam1,blueTeam1R,blueTeam2,blueTeam2R,blueTeam3,blueTeam3R,blueTeam4,blueTeam4R,blueTeam5,blueTeam5R
0,0,150,TOP,876,JUNGLE,126,MIDDLE,22,BOTTOM,350,UTILITY,79,TOP,141,JUNGLE,91,MIDDLE,69,BOTTOM,432,UTILITY
0,1,887,TOP,203,JUNGLE,163,MIDDLE,81,BOTTOM,201,UTILITY,897,TOP,30,JUNGLE,126,MIDDLE,145,BOTTOM,89,UTILITY
0,1,58,TOP,77,JUNGLE,84,MIDDLE,221,BOTTOM,37,UTILITY,164,TOP,427,JUNGLE,950,MIDDLE,222,BOTTOM,412,UTILITY
0,0,24,TOP,203,JUNGLE,517,MIDDLE,29,BOTTOM,68,UTILITY,147,BOTTOM,20,JUNGLE,89,UTILITY,80,TOP,42,MIDDLE
0,1,54,TOP,77,JUNGLE,777,MIDDLE,145,BOTTOM,555,UTILITY,62,TOP,203,JUNGLE,61,MIDDLE,81,BOTTOM,147,UTILITY
0,1,67,TOP,60,JUNGLE,42,MIDDLE,81,BOTTOM,22,UTILITY,41,TOP,63,JUNGLE,221,MIDDLE,145,BOTTOM,526,UTILITY
0,1,36,TOP,120,JUNGLE,18,MIDDLE,910,BOTTOM,497,UTILITY,80,TOP,104,JUNGLE,8,MIDDLE,111,UTILITY,145,BOTTOM
0,1,77,TOP,59,JUNGLE,517,MIDDLE,21,BOTTOM,147,UTILITY,85,TOP,121,JUNGLE,39,MIDDLE,63,BOTTOM,497,UTILITY
0,1,85,TOP,11,JUNGLE,34,MIDDLE,81,BOTTOM,16,UTILITY,110,TOP,64,JUNGLE,112,MIDDLE,145,BOTTOM,111,UTILITY
0,0,86,MIDDLE,77,JUNGLE,85,TOP,202,BOTTOM,89,UTILITY,82,TOP,68,JUNGLE,81,BOTTOM,42,MIDDLE,432,UTILITY
0,1,897,TOP,876,JUNGLE,58,MIDDLE,901,BOTTOM,26,UTILITY,78,TOP,77,JUNGLE,157,MIDDLE,22,BOTTOM,201,UTILITY
0,0,126,TOP,143,JUNGLE,6,MIDDLE,21,BOTTOM,12,UTILITY,41,TOP,120,JUNGLE,131,MIDDLE,145,BOTTOM,89,UTILITY
0,0,27,TOP,77,JUNGLE,901,MIDDLE,498,BOTTOM,497,UTILITY,86,TOP,876,JUNGLE,126,MIDDLE,63,BOTTOM,72,UTILITY
0,1,86,TOP,56,JUNGLE,61,MIDDLE,81,BOTTOM,89,UTILITY,150,TOP,63,JUNGLE,42,MIDDLE,498,BOTTOM,497,UTILITY
0,1,126,TOP,77,JUNGLE,36,MIDDLE,63,BOTTOM,518,UTILITY,266,TOP,30,JUNGLE,39,MIDDLE,236,BOTTOM,89,UTILITY
0,0,19,TOP,64,JUNGLE,7,MIDDLE,96,BOTTOM,117,UTILITY,164,TOP,104,JUNGLE,3,MIDDLE,81,BOTTOM,432,UTILITY
0,1,16,TOP,2,JUNGLE,236,MIDDLE,63,BOTTOM,12,UTILITY,62,TOP,876,JUNGLE,163,MIDDLE,22,BOTTOM,89,UTILITY
0,1,164,TOP,77,JUNGLE,3,MIDDLE,202,BOTTOM,78,UTILITY,67,TOP,59,JUNGLE,55,MIDDLE,22,BOTTOM,111,UTILITY
0,0,54,TOP,64,JUNGLE,42,MIDDLE,222,BOTTOM,16,UTILITY,114,TOP,113,JUNGLE,777,MIDDLE,202,BOTTOM,3,UTILITY
